sample,fastq1,fastq2,read_group
Astrocytes,/mnt/isilon/cccr_bfx/CCCR_Pipelines/archive/Independent/data/SRR2557083_1.fastq.gz,/mnt/isilon/cccr_bfx/CCCR_Pipelines/archive/Independent/data/SRR2557083_2.fastq.gz,ID:Human_SRR2557083
example_data,/mnt/isilon/cccr_bfx/CCCR_Pipelines/archive/Independent/data/24280FL-03-01-03_S3_L005_R1_001.fastq.gz,/mnt/isilon/cccr_bfx/CCCR_Pipelines/archive/Independent/data/24280FL-03-01-03_S3_L005_R2_001.fastq.gz,ID:example_242
